"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013/2014","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11514","","","","0"
"2014/2015","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11601","","","","0"
"2015/2016","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","11949","","","","0"
"2016/2017","Alberta","2016A000248","All educators","All ages","Males","Number","223","units","0","v65934049","10.1.1.2","12012","","","","0"
"2002/2003","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","12516","","","","0"
"2003/2004","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","12114","","","","0"
"2004/2005","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","11832","","","","0"
"2005/2006","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","11763","","","","0"
"2006/2007","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","11616","","","","0"
"2007/2008","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","11403","","","","0"
"2008/2009","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","11205","","","","0"
"2009/2010","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","10965","","","","0"
"2010/2011","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","10683","","","","0"
"2011/2012","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","10554","","","","0"
"2012/2013","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","10284","","","","0"
"2013/2014","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","10080","","","","0"
"2014/2015","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","9990","","","","0"
"2015/2016","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","9927","","","","0"
"2016/2017","British Columbia","2016A000259","All educators","All ages","Males","Number","223","units","0","v65934193","11.1.1.2","9897","","","","0"
"2011/2012","Yukon","2016A000260","All educators","All ages","Males","Number","223","units","0","v114997061","12.1.1.2","384","","","","0"
"2012/2013","Yukon","2016A000260","All educators","All ages","Males","Number","223","units","0","v114997061","12.1.1.2","267","","","","0"
"2013/2014","Yukon","2016A000260","All educators","All ages","Males","Number","223","units","0","v114997061","12.1.1.2","276","","","","0"
"2014/2015","Yukon","2016A000260","All educators","All ages","Males","Number","223","units","0","v114997061","12.1.1.2","270","","","","0"
"2015/2016","Yukon","2016A000260","All educators","All ages","Males","Number","223","units","0","v114997061","12.1.1.2","255","","","","0"
"2016/2017","Yukon","2016A000260","All educators","All ages","Males","Number","223","units","0","v114997061","12.1.1.2","258","","","","0"
"2010/2011","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","","..","","","0"
"2011/2012","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","","..","","","0"
"2012/2013","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","","..","","","0"
"2013/2014","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","","..","","","0"
"2014/2015","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","243","","","","0"
"2015/2016","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","237","","","","0"
"2016/2017","Nunavut","2016A000262","All educators","All ages","Males","Number","223","units","0","v109758675","14.1.1.2","273","","","","0"


